# URL: https://www.iana.org/domains/idn-tables/tables/google_latn_1.0.txt
# Policy: https://www.registry.google/about/policies/domainabuse/
U+002D                         # HYPHEN-MINUS
U+024D                         # LATIN SMALL LETTER R WITH STROKE
U+0253                         # LATIN SMALL LETTER B WITH HOOK
U+0254                         # LATIN SMALL LETTER OPEN O
U+0256                         # LATIN SMALL LETTER D WITH TAIL
U+0257                         # LATIN SMALL LETTER D WITH HOOK
U+0259                         # LATIN SMALL LETTER SCHWA
U+025B                         # LATIN SMALL LETTER OPEN E
U+0260                         # LATIN SMALL LETTER G WITH HOOK
U+0268                         # LATIN SMALL LETTER I WITH STROKE
U+0272                         # LATIN SMALL LETTER N WITH LEFT HOOK
U+0289                         # LATIN SMALL LETTER U BAR
U+0292                         # LATIN SMALL LETTER EZH
U+1E13                         # LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
U+1E3D                         # LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
U+1E49                         # LATIN SMALL LETTER N WITH LINE BELOW
U+1E4B                         # LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
U+1E63                         # LATIN SMALL LETTER S WITH DOT BELOW
U+1E6D                         # LATIN SMALL LETTER T WITH DOT BELOW
U+1E71                         # LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
U+1E8D                         # LATIN SMALL LETTER X WITH DIAERESIS
U+1EA1                         # LATIN SMALL LETTER A WITH DOT BELOW
U+1EA5                         # LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
U+1EA7                         # LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
U+1EA9                         # LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
U+1EAB                         # LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
U+1EAD                         # LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
U+1EAF                         # LATIN SMALL LETTER A WITH BREVE AND ACUTE
U+1EB1                         # LATIN SMALL LETTER A WITH BREVE AND GRAVE
U+1EB3                         # LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
U+1EB5                         # LATIN SMALL LETTER A WITH BREVE AND TILDE
U+1EB7                         # LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
U+1EB9                         # LATIN SMALL LETTER E WITH DOT BELOW
U+1EBB                         # LATIN SMALL LETTER E WITH HOOK ABOVE
U+1EBF                         # LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
U+1EC1                         # LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
U+1EC3                         # LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
U+1EC5                         # LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
U+1EC7                         # LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
U+1ECB                         # LATIN SMALL LETTER I WITH DOT BELOW
U+1ECD                         # LATIN SMALL LETTER O WITH DOT BELOW
U+1ED1                         # LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
U+1ED3                         # LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
U+1ED5                         # LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
U+1ED7                         # LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
U+1ED9                         # LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
U+1EDB                         # LATIN SMALL LETTER O WITH HORN AND ACUTE
U+1EDD                         # LATIN SMALL LETTER O WITH HORN AND GRAVE
U+1EDF                         # LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
U+1EE1                         # LATIN SMALL LETTER O WITH HORN AND TILDE
U+1EE3                         # LATIN SMALL LETTER O WITH HORN AND DOT BELOW
U+1EE5                         # LATIN SMALL LETTER U WITH DOT BELOW
U+1EE9                         # LATIN SMALL LETTER U WITH HORN AND ACUTE
U+1EEB                         # LATIN SMALL LETTER U WITH HORN AND GRAVE
U+1EED                         # LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
U+1EEF                         # LATIN SMALL LETTER U WITH HORN AND TILDE
U+1EF1                         # LATIN SMALL LETTER U WITH HORN AND DOT BELOW
U+1EF5                         # LATIN SMALL LETTER Y WITH DOT BELOW
U+1EF9                         # LATIN SMALL LETTER Y WITH TILDE
